fonte_recursos,tipo_receita,descricao,arrecadado
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11130111 - IRRF - IMP.RENDA PESSOA FISICA-PRINCIPAL,4267858335.83
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11130311 - IRRF-IMP. RENDA RET. FTE-TRABALHO-PRINCIPAL,4323772997.93
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11130341 - IRRF-OUTROS RENDIMENTOS-PRINCIPAL,123071158.14
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180121 - IPVA - IMP. PROPR. VEIC. AUTOM  - PRINCIPAL,8202995933.47
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180122 - IPVA - MULTAS E  JUROS,6927.39
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180123 - IPVA - DIVIDA ATIVA,235614546.72
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180124 - IPVA - MULTA E JUROS-DIVIDA ATIVA,401195.68
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180131 - ITCMD-IMP.TRA.CAUSA MORTIS/DOACAO-PRINCIPAL,3158253957.69
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180132 - ITCMD - MULTAS E JUROS,218862721.73
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180133 - ITCMD - DIVIDA ATIVA,8067099.83
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180134 - ITCMD - DIVIDA ATIVA - MULTAS E JUROS,12176510.96
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180211 - ICMS - PRINCIPAL,107251547629.75
001 - TESOURO-DOT.INICIAL E CRED.SUPLEMENTAR,Receita,11180212 - ICMS - MULTAS E JUROS,1664601065.05
